Website section,Exact claim or implied claim,Claim type,Technology/system involved,Chemicals/materials involved,Unit operations involved,Bottleneck involved,Readiness/manufacturing issue involved,Needed evidence type,Evidence status,Best available sources,Source quality rating,Confidence level,Notes on uncertainty,Suggested revised wording if too strong
Technology / readiness gap,"Modular emergency water units readiness gap: Portable units exist, but disaster reliability depends on maintenance and consumables.",readiness/economics claim,Modular emergency water units,Water; Silicon; Photoresists; Membranes; Membrane modules; Graphene; Functional coatings; Binders; Membranes,Membrane separation; Filtration; Wastewater treatment,energy penalty; infrastructure gap; reliability gap; maintenance burden,"Portable units exist, but disaster reliability depends on maintenance and consumables.",TRL/MRL/IRL plus domain-specific demonstration/commercialization sources,Supported as starter-sourced framing,"U.S. Environmental Protection Agency. 2026. Water Reuse and Recycling / National Water Reuse Action Plan. (https://www.epa.gov/waterreuse) | National Research Council. 2012. Water Reuse: Potential for Expanding the Nation's Water Supply Through Reuse of Municipal Wastewater. (https://www.nationalacademies.org/read/13303) | National Research Council. 2008. Desalination: A National Perspective. (https://nap.nationalacademies.org/resource/12184/desal_final.pdf) | Sholl, D. S.; Lively, R. P. 2016. Seven chemical separations to change the world. Nature 532, 435–437. DOI: 10.1038/532435a. (https://www.nature.com/articles/532435a) | U.S. Environmental Protection Agency. 2024. Interim Guidance on the Destruction and Disposal of PFAS and Materials Containing PFAS. (https://www.epa.gov/system/files/documents/2024-04/2024-interim-guidance-on-pfas-destruction-and-disposal.pdf) | Ahrestani, Z., et al. 2023. An overview of atmospheric water harvesting methods. PMC / peer-reviewed review. (https://pmc.ncbi.nlm.nih.gov/articles/PMC10073925/)",Tier 1 preferred; Tier 2 supplemental,Medium,"Source set supports the process framing, but individual claims require direct verification.","Qualify readiness gaps with the specific maturity dimension: technical, manufacturing, integration, infrastructure, safety, or economics."
Technology / scale trigger,Modular emergency water units scale trigger: Units must handle unknown water quality with simple QA signals.,readiness/economics claim + engineering inference,Modular emergency water units,Water; Silicon; Photoresists; Membranes; Membrane modules; Graphene; Functional coatings; Binders; Membranes,Membrane separation; Filtration; Wastewater treatment,energy penalty; infrastructure gap; reliability gap; maintenance burden,Units must handle unknown water quality with simple QA signals.,"Techno-economic analysis, pilot data, manufacturing learning, reliability, regulatory/permitting evidence",Needs claim-level verification,"U.S. Environmental Protection Agency. 2026. Water Reuse and Recycling / National Water Reuse Action Plan. (https://www.epa.gov/waterreuse) | National Research Council. 2012. Water Reuse: Potential for Expanding the Nation's Water Supply Through Reuse of Municipal Wastewater. (https://www.nationalacademies.org/read/13303) | National Research Council. 2008. Desalination: A National Perspective. (https://nap.nationalacademies.org/resource/12184/desal_final.pdf) | Sholl, D. S.; Lively, R. P. 2016. Seven chemical separations to change the world. Nature 532, 435–437. DOI: 10.1038/532435a. (https://www.nature.com/articles/532435a) | U.S. Environmental Protection Agency. 2024. Interim Guidance on the Destruction and Disposal of PFAS and Materials Containing PFAS. (https://www.epa.gov/system/files/documents/2024-04/2024-interim-guidance-on-pfas-destruction-and-disposal.pdf) | Ahrestani, Z., et al. 2023. An overview of atmospheric water harvesting methods. PMC / peer-reviewed review. (https://pmc.ncbi.nlm.nih.gov/articles/PMC10073925/)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Scale-trigger language is often inferential and should be verified with TEA, deployment data, or agency roadmap sources.",Phrase scale triggers as hypotheses unless a direct source supports the causal threshold.
Technology / realistic pathway,"Closed-loop building water: Greywater separation, membrane filtration, UV disinfection, smart plumbing, and nonpotable reuse loops.",process-flow assumption + engineering inference,Closed-loop building water,Water; Conductive inks; Solvents; Membranes; Membrane modules; Graphene; Conductive inks; Membranes,Membrane separation; Filtration,separation cost; infrastructure gap; regulatory barrier; public acceptance,New buildings can integrate loops; existing buildings are harder to retrofit.,"Direct sources for process route, materials, bottlenecks, readiness, economics, and safety/regulatory issues",Supported as starter-sourced framing,"U.S. Environmental Protection Agency. 2026. Water Reuse and Recycling / National Water Reuse Action Plan. (https://www.epa.gov/waterreuse) | National Research Council. 2012. Water Reuse: Potential for Expanding the Nation's Water Supply Through Reuse of Municipal Wastewater. (https://www.nationalacademies.org/read/13303) | Sholl, D. S.; Lively, R. P. 2016. Seven chemical separations to change the world. Nature 532, 435–437. DOI: 10.1038/532435a. (https://www.nature.com/articles/532435a) | U.S. Geological Survey. 2019. Desalination. (https://www.usgs.gov/water-science-school/science/desalination) | National Research Council. 2008. Desalination: A National Perspective. (https://nap.nationalacademies.org/resource/12184/desal_final.pdf) | U.S. Environmental Protection Agency. 2024. Interim Guidance on the Destruction and Disposal of PFAS and Materials Containing PFAS. (https://www.epa.gov/system/files/documents/2024-04/2024-interim-guidance-on-pfas-destruction-and-disposal.pdf)",Tier 1 preferred; Tier 2 supplemental,Medium,"Source set supports the process framing, but individual claims require direct verification.","Verify numbers, economics, timelines, and performance separately. Keep Closed-loop building water wording qualified around economics, timelines, and performance unless claim-level evidence is added."
Technology / simplified PFD,Closed-loop building water is represented with the simplified PFD sequence: Sink/shower water → Filtration → Disinfection → Storage → Toilet or irrigation reuse.,process-flow assumption,Closed-loop building water,Water; Conductive inks; Solvents; Membranes; Membrane modules; Graphene; Conductive inks; Membranes,Membrane separation; Filtration,separation cost; infrastructure gap; regulatory barrier; public acceptance,New buildings can integrate loops; existing buildings are harder to retrofit.,Process-route sources showing actual major unit operations or system blocks,Supported as starter-sourced framing,"U.S. Environmental Protection Agency. 2026. Water Reuse and Recycling / National Water Reuse Action Plan. (https://www.epa.gov/waterreuse) | National Research Council. 2012. Water Reuse: Potential for Expanding the Nation's Water Supply Through Reuse of Municipal Wastewater. (https://www.nationalacademies.org/read/13303) | Sholl, D. S.; Lively, R. P. 2016. Seven chemical separations to change the world. Nature 532, 435–437. DOI: 10.1038/532435a. (https://www.nature.com/articles/532435a) | U.S. Geological Survey. 2019. Desalination. (https://www.usgs.gov/water-science-school/science/desalination) | National Research Council. 2008. Desalination: A National Perspective. (https://nap.nationalacademies.org/resource/12184/desal_final.pdf) | U.S. Environmental Protection Agency. 2024. Interim Guidance on the Destruction and Disposal of PFAS and Materials Containing PFAS. (https://www.epa.gov/system/files/documents/2024-04/2024-interim-guidance-on-pfas-destruction-and-disposal.pdf)",Tier 1 preferred; Tier 2 supplemental,Medium,Mini-PFDs are simplified; exact process routes can vary by architecture/vendor/design.,Treat the mini-PFD as a teaching abstraction unless a source directly supports the sequence.
Technology / readiness gap,Closed-loop building water readiness gap: New buildings can integrate loops; existing buildings are harder to retrofit.,readiness/economics claim,Closed-loop building water,Water; Conductive inks; Solvents; Membranes; Membrane modules; Graphene; Conductive inks; Membranes,Membrane separation; Filtration,separation cost; infrastructure gap; regulatory barrier; public acceptance,New buildings can integrate loops; existing buildings are harder to retrofit.,TRL/MRL/IRL plus domain-specific demonstration/commercialization sources,Supported as starter-sourced framing,"U.S. Environmental Protection Agency. 2026. Water Reuse and Recycling / National Water Reuse Action Plan. (https://www.epa.gov/waterreuse) | National Research Council. 2012. Water Reuse: Potential for Expanding the Nation's Water Supply Through Reuse of Municipal Wastewater. (https://www.nationalacademies.org/read/13303) | Sholl, D. S.; Lively, R. P. 2016. Seven chemical separations to change the world. Nature 532, 435–437. DOI: 10.1038/532435a. (https://www.nature.com/articles/532435a) | U.S. Geological Survey. 2019. Desalination. (https://www.usgs.gov/water-science-school/science/desalination) | National Research Council. 2008. Desalination: A National Perspective. (https://nap.nationalacademies.org/resource/12184/desal_final.pdf) | U.S. Environmental Protection Agency. 2024. Interim Guidance on the Destruction and Disposal of PFAS and Materials Containing PFAS. (https://www.epa.gov/system/files/documents/2024-04/2024-interim-guidance-on-pfas-destruction-and-disposal.pdf)",Tier 1 preferred; Tier 2 supplemental,Medium,"Source set supports the process framing, but individual claims require direct verification.","Qualify readiness gaps with the specific maturity dimension: technical, manufacturing, integration, infrastructure, safety, or economics."
Technology / scale trigger,Closed-loop building water scale trigger: Codes and plumbing standards must normalize nonpotable reuse.,readiness/economics claim + engineering inference,Closed-loop building water,Water; Conductive inks; Solvents; Membranes; Membrane modules; Graphene; Conductive inks; Membranes,Membrane separation; Filtration,separation cost; infrastructure gap; regulatory barrier; public acceptance,Codes and plumbing standards must normalize nonpotable reuse.,"Techno-economic analysis, pilot data, manufacturing learning, reliability, regulatory/permitting evidence",Needs claim-level verification,"U.S. Environmental Protection Agency. 2026. Water Reuse and Recycling / National Water Reuse Action Plan. (https://www.epa.gov/waterreuse) | National Research Council. 2012. Water Reuse: Potential for Expanding the Nation's Water Supply Through Reuse of Municipal Wastewater. (https://www.nationalacademies.org/read/13303) | Sholl, D. S.; Lively, R. P. 2016. Seven chemical separations to change the world. Nature 532, 435–437. DOI: 10.1038/532435a. (https://www.nature.com/articles/532435a) | U.S. Geological Survey. 2019. Desalination. (https://www.usgs.gov/water-science-school/science/desalination) | National Research Council. 2008. Desalination: A National Perspective. (https://nap.nationalacademies.org/resource/12184/desal_final.pdf) | U.S. Environmental Protection Agency. 2024. Interim Guidance on the Destruction and Disposal of PFAS and Materials Containing PFAS. (https://www.epa.gov/system/files/documents/2024-04/2024-interim-guidance-on-pfas-destruction-and-disposal.pdf)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Scale-trigger language is often inferential and should be verified with TEA, deployment data, or agency roadmap sources.",Phrase scale triggers as hypotheses unless a direct source supports the causal threshold.
Technology / realistic pathway,"Smart glass buildings: Electrochromic coatings, transparent conductors, ion-conducting layers, sealing, cycling durability, and building controls.",process-flow assumption + engineering inference,Smart glass buildings,Copper; Water; Catalysts; Glass; Transparent conductors; Functional coatings; Binders; Catalysts,Coating; Curing; Filtration,material degradation; reliability gap; maintenance burden; cost curve problem,"Commercial products exist, but cost and large-area reliability limit broad adoption.","Direct sources for process route, materials, bottlenecks, readiness, economics, and safety/regulatory issues",Supported as starter-sourced framing,"U.S. Department of Energy Building Technologies Office. 2023. Better Windows, Better Outcomes: How Electrochromics Improve Health, Productivity, and Efficiency. (https://www.energy.gov/sites/default/files/2023-12/bto-electrochromic-window-report-121123.pdf) | National Academies of Sciences, Engineering, and Medicine. 2020. Deployment of Deep Decarbonization Technologies. (https://www.nationalacademies.org/read/25656/chapter/6) | National Institute of Standards and Technology. 2023. CHIPS Metrology Program. (https://www.nist.gov/chips/research-development-programs/metrology-program) | U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025)",Tier 1 preferred; Tier 2 supplemental,Medium,"Source set supports the process framing, but individual claims require direct verification.","Verify numbers, economics, timelines, and performance separately. Keep Smart glass buildings wording qualified around economics, timelines, and performance unless claim-level evidence is added."
Technology / simplified PFD,Smart glass buildings is represented with the simplified PFD sequence: Glass prep → Conductive coating → Electrochromic deposition → Lamination/sealing → Module testing.,process-flow assumption,Smart glass buildings,Copper; Water; Catalysts; Glass; Transparent conductors; Functional coatings; Binders; Catalysts,Coating; Curing; Filtration,material degradation; reliability gap; maintenance burden; cost curve problem,"Commercial products exist, but cost and large-area reliability limit broad adoption.",Process-route sources showing actual major unit operations or system blocks,Supported as starter-sourced framing,"U.S. Department of Energy Building Technologies Office. 2023. Better Windows, Better Outcomes: How Electrochromics Improve Health, Productivity, and Efficiency. (https://www.energy.gov/sites/default/files/2023-12/bto-electrochromic-window-report-121123.pdf) | National Academies of Sciences, Engineering, and Medicine. 2020. Deployment of Deep Decarbonization Technologies. (https://www.nationalacademies.org/read/25656/chapter/6) | National Institute of Standards and Technology. 2023. CHIPS Metrology Program. (https://www.nist.gov/chips/research-development-programs/metrology-program) | U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025)",Tier 1 preferred; Tier 2 supplemental,Medium,Mini-PFDs are simplified; exact process routes can vary by architecture/vendor/design.,Treat the mini-PFD as a teaching abstraction unless a source directly supports the sequence.
Technology / readiness gap,"Smart glass buildings readiness gap: Commercial products exist, but cost and large-area reliability limit broad adoption.",readiness/economics claim,Smart glass buildings,Copper; Water; Catalysts; Glass; Transparent conductors; Functional coatings; Binders; Catalysts,Coating; Curing; Filtration,material degradation; reliability gap; maintenance burden; cost curve problem,"Commercial products exist, but cost and large-area reliability limit broad adoption.",TRL/MRL/IRL plus domain-specific demonstration/commercialization sources,Supported as starter-sourced framing,"U.S. Department of Energy Building Technologies Office. 2023. Better Windows, Better Outcomes: How Electrochromics Improve Health, Productivity, and Efficiency. (https://www.energy.gov/sites/default/files/2023-12/bto-electrochromic-window-report-121123.pdf) | National Academies of Sciences, Engineering, and Medicine. 2020. Deployment of Deep Decarbonization Technologies. (https://www.nationalacademies.org/read/25656/chapter/6) | National Institute of Standards and Technology. 2023. CHIPS Metrology Program. (https://www.nist.gov/chips/research-development-programs/metrology-program) | U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025)",Tier 1 preferred; Tier 2 supplemental,Medium,"Source set supports the process framing, but individual claims require direct verification.","Qualify readiness gaps with the specific maturity dimension: technical, manufacturing, integration, infrastructure, safety, or economics."
Technology / scale trigger,Smart glass buildings scale trigger: Large panels must hold optical performance through years of cycling.,readiness/economics claim + engineering inference,Smart glass buildings,Copper; Water; Catalysts; Glass; Transparent conductors; Functional coatings; Binders; Catalysts,Coating; Curing; Filtration,material degradation; reliability gap; maintenance burden; cost curve problem,Large panels must hold optical performance through years of cycling.,"Techno-economic analysis, pilot data, manufacturing learning, reliability, regulatory/permitting evidence",Needs claim-level verification,"U.S. Department of Energy Building Technologies Office. 2023. Better Windows, Better Outcomes: How Electrochromics Improve Health, Productivity, and Efficiency. (https://www.energy.gov/sites/default/files/2023-12/bto-electrochromic-window-report-121123.pdf) | National Academies of Sciences, Engineering, and Medicine. 2020. Deployment of Deep Decarbonization Technologies. (https://www.nationalacademies.org/read/25656/chapter/6) | National Institute of Standards and Technology. 2023. CHIPS Metrology Program. (https://www.nist.gov/chips/research-development-programs/metrology-program) | U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Scale-trigger language is often inferential and should be verified with TEA, deployment data, or agency roadmap sources.",Phrase scale triggers as hypotheses unless a direct source supports the causal threshold.
Technology / realistic pathway,"Self-healing concrete: Encapsulated healing agents, bacteria-based mineralization, polymer networks, moisture-triggered chemistry, and durability testing.",process-flow assumption + engineering inference,Self-healing concrete,Carbon dioxide; Lithium; Electrolytes; Graphite; Cement/concrete chemistries; Polymers; Cementitious materials; Mineral aggregates; Electrolytes; Polymers,Coating; Curing; Filtration,material degradation; infrastructure gap; regulatory barrier; reliability gap,Lab and pilot materials are promising; infrastructure codes need field evidence.,"Direct sources for process route, materials, bottlenecks, readiness, economics, and safety/regulatory issues",Supported as starter-sourced framing,"International Energy Agency. 2024. Cement. (https://www.iea.org/energy-system/industry/cement) | International Energy Agency and Cement Sustainability Initiative. 2018. Technology Roadmap: Low-Carbon Transition in the Cement Industry. (https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry) | Driver, J. G., et al. 2024. Global decarbonization potential of CO2 mineralization in concrete materials. Nature Communications / PMC. (https://pmc.ncbi.nlm.nih.gov/articles/PMC11260098/) | Wang, S., and M. W. Urban. 2020. Self-healing polymers. Nature Reviews Materials. (https://ui.adsabs.harvard.edu/abs/2020NatRM...5..562W/abstract) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025)",Tier 1 preferred; Tier 2 supplemental,Medium,"Source set supports the process framing, but individual claims require direct verification.","Verify numbers, economics, timelines, and performance separately. Keep Self-healing concrete wording qualified around economics, timelines, and performance unless claim-level evidence is added."
Technology / simplified PFD,Self-healing concrete is represented with the simplified PFD sequence: Cement matrix → Healing additive integration → Casting → Crack activation → Repair reaction.,process-flow assumption,Self-healing concrete,Carbon dioxide; Lithium; Electrolytes; Graphite; Cement/concrete chemistries; Polymers; Cementitious materials; Mineral aggregates; Electrolytes; Polymers,Coating; Curing; Filtration,material degradation; infrastructure gap; regulatory barrier; reliability gap,Lab and pilot materials are promising; infrastructure codes need field evidence.,Process-route sources showing actual major unit operations or system blocks,Supported as starter-sourced framing,"International Energy Agency. 2024. Cement. (https://www.iea.org/energy-system/industry/cement) | International Energy Agency and Cement Sustainability Initiative. 2018. Technology Roadmap: Low-Carbon Transition in the Cement Industry. (https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry) | Driver, J. G., et al. 2024. Global decarbonization potential of CO2 mineralization in concrete materials. Nature Communications / PMC. (https://pmc.ncbi.nlm.nih.gov/articles/PMC11260098/) | Wang, S., and M. W. Urban. 2020. Self-healing polymers. Nature Reviews Materials. (https://ui.adsabs.harvard.edu/abs/2020NatRM...5..562W/abstract) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025)",Tier 1 preferred; Tier 2 supplemental,Medium,Mini-PFDs are simplified; exact process routes can vary by architecture/vendor/design.,Treat the mini-PFD as a teaching abstraction unless a source directly supports the sequence.
Technology / readiness gap,Self-healing concrete readiness gap: Lab and pilot materials are promising; infrastructure codes need field evidence.,readiness/economics claim,Self-healing concrete,Carbon dioxide; Lithium; Electrolytes; Graphite; Cement/concrete chemistries; Polymers; Cementitious materials; Mineral aggregates; Electrolytes; Polymers,Coating; Curing; Filtration,material degradation; infrastructure gap; regulatory barrier; reliability gap,Lab and pilot materials are promising; infrastructure codes need field evidence.,TRL/MRL/IRL plus domain-specific demonstration/commercialization sources,Supported as starter-sourced framing,"International Energy Agency. 2024. Cement. (https://www.iea.org/energy-system/industry/cement) | International Energy Agency and Cement Sustainability Initiative. 2018. Technology Roadmap: Low-Carbon Transition in the Cement Industry. (https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry) | Driver, J. G., et al. 2024. Global decarbonization potential of CO2 mineralization in concrete materials. Nature Communications / PMC. (https://pmc.ncbi.nlm.nih.gov/articles/PMC11260098/) | Wang, S., and M. W. Urban. 2020. Self-healing polymers. Nature Reviews Materials. (https://ui.adsabs.harvard.edu/abs/2020NatRM...5..562W/abstract) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025)",Tier 1 preferred; Tier 2 supplemental,Medium,"Source set supports the process framing, but individual claims require direct verification.","Qualify readiness gaps with the specific maturity dimension: technical, manufacturing, integration, infrastructure, safety, or economics."
Technology / scale trigger,"Self-healing concrete scale trigger: Healing must be predictable under real loads, climates, and maintenance cycles.",readiness/economics claim + engineering inference,Self-healing concrete,Carbon dioxide; Lithium; Electrolytes; Graphite; Cement/concrete chemistries; Polymers; Cementitious materials; Mineral aggregates; Electrolytes; Polymers,Coating; Curing; Filtration,material degradation; infrastructure gap; regulatory barrier; reliability gap,"Healing must be predictable under real loads, climates, and maintenance cycles.","Techno-economic analysis, pilot data, manufacturing learning, reliability, regulatory/permitting evidence",Needs claim-level verification,"International Energy Agency. 2024. Cement. (https://www.iea.org/energy-system/industry/cement) | International Energy Agency and Cement Sustainability Initiative. 2018. Technology Roadmap: Low-Carbon Transition in the Cement Industry. (https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry) | Driver, J. G., et al. 2024. Global decarbonization potential of CO2 mineralization in concrete materials. Nature Communications / PMC. (https://pmc.ncbi.nlm.nih.gov/articles/PMC11260098/) | Wang, S., and M. W. Urban. 2020. Self-healing polymers. Nature Reviews Materials. (https://ui.adsabs.harvard.edu/abs/2020NatRM...5..562W/abstract) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Scale-trigger language is often inferential and should be verified with TEA, deployment data, or agency roadmap sources.",Phrase scale triggers as hypotheses unless a direct source supports the causal threshold.
Technology / realistic pathway,"Adaptive building skins: Responsive materials, sensors, actuators, solar coatings, thermal storage layers, and control algorithms.",process-flow assumption + engineering inference,Adaptive building skins,Silicon; Photoresists; Functional coatings; Binders,Coating; Heat exchange,energy penalty; material degradation; heat management; regulatory barrier,"Architectural prototypes exist, but lifecycle reliability is a barrier.","Direct sources for process route, materials, bottlenecks, readiness, economics, and safety/regulatory issues",Supported as starter-sourced framing,"U.S. Department of Energy Building Technologies Office. 2023. Better Windows, Better Outcomes: How Electrochromics Improve Health, Productivity, and Efficiency. (https://www.energy.gov/sites/default/files/2023-12/bto-electrochromic-window-report-121123.pdf) | Huang, G., et al. 2024. Radiative cooling and indoor light management enabled by a transparent, haze-free metafilm. Nature Communications. (https://www.nature.com/articles/s41467-024-48150-2) | U.S. Department of Energy. 2022. Industrial Decarbonization Roadmap. (https://www.osti.gov/biblio/1961393) | U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025)",Tier 1 preferred; Tier 2 supplemental,Medium,"Source set supports the process framing, but individual claims require direct verification.","Verify numbers, economics, timelines, and performance separately. Keep Adaptive building skins wording qualified around economics, timelines, and performance unless claim-level evidence is added."
Technology / simplified PFD,Adaptive building skins is represented with the simplified PFD sequence: Sensor input → Control system → Material or actuator response → Heat/light regulation → Performance feedback.,process-flow assumption,Adaptive building skins,Silicon; Photoresists; Functional coatings; Binders,Coating; Heat exchange,energy penalty; material degradation; heat management; regulatory barrier,"Architectural prototypes exist, but lifecycle reliability is a barrier.",Process-route sources showing actual major unit operations or system blocks,Supported as starter-sourced framing,"U.S. Department of Energy Building Technologies Office. 2023. Better Windows, Better Outcomes: How Electrochromics Improve Health, Productivity, and Efficiency. (https://www.energy.gov/sites/default/files/2023-12/bto-electrochromic-window-report-121123.pdf) | Huang, G., et al. 2024. Radiative cooling and indoor light management enabled by a transparent, haze-free metafilm. Nature Communications. (https://www.nature.com/articles/s41467-024-48150-2) | U.S. Department of Energy. 2022. Industrial Decarbonization Roadmap. (https://www.osti.gov/biblio/1961393) | U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025)",Tier 1 preferred; Tier 2 supplemental,Medium,Mini-PFDs are simplified; exact process routes can vary by architecture/vendor/design.,Treat the mini-PFD as a teaching abstraction unless a source directly supports the sequence.
Technology / readiness gap,"Adaptive building skins readiness gap: Architectural prototypes exist, but lifecycle reliability is a barrier.",readiness/economics claim,Adaptive building skins,Silicon; Photoresists; Functional coatings; Binders,Coating; Heat exchange,energy penalty; material degradation; heat management; regulatory barrier,"Architectural prototypes exist, but lifecycle reliability is a barrier.",TRL/MRL/IRL plus domain-specific demonstration/commercialization sources,Supported as starter-sourced framing,"U.S. Department of Energy Building Technologies Office. 2023. Better Windows, Better Outcomes: How Electrochromics Improve Health, Productivity, and Efficiency. (https://www.energy.gov/sites/default/files/2023-12/bto-electrochromic-window-report-121123.pdf) | Huang, G., et al. 2024. Radiative cooling and indoor light management enabled by a transparent, haze-free metafilm. Nature Communications. (https://www.nature.com/articles/s41467-024-48150-2) | U.S. Department of Energy. 2022. Industrial Decarbonization Roadmap. (https://www.osti.gov/biblio/1961393) | U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025)",Tier 1 preferred; Tier 2 supplemental,Medium,"Source set supports the process framing, but individual claims require direct verification.","Qualify readiness gaps with the specific maturity dimension: technical, manufacturing, integration, infrastructure, safety, or economics."
Technology / scale trigger,Adaptive building skins scale trigger: Facade modules must be serviceable and energy-positive over their lifetime.,readiness/economics claim + engineering inference,Adaptive building skins,Silicon; Photoresists; Functional coatings; Binders,Coating; Heat exchange,energy penalty; material degradation; heat management; regulatory barrier,Facade modules must be serviceable and energy-positive over their lifetime.,"Techno-economic analysis, pilot data, manufacturing learning, reliability, regulatory/permitting evidence",Needs claim-level verification,"U.S. Department of Energy Building Technologies Office. 2023. Better Windows, Better Outcomes: How Electrochromics Improve Health, Productivity, and Efficiency. (https://www.energy.gov/sites/default/files/2023-12/bto-electrochromic-window-report-121123.pdf) | Huang, G., et al. 2024. Radiative cooling and indoor light management enabled by a transparent, haze-free metafilm. Nature Communications. (https://www.nature.com/articles/s41467-024-48150-2) | U.S. Department of Energy. 2022. Industrial Decarbonization Roadmap. (https://www.osti.gov/biblio/1961393) | U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Scale-trigger language is often inferential and should be verified with TEA, deployment data, or agency roadmap sources.",Phrase scale triggers as hypotheses unless a direct source supports the causal threshold.
